Region,Departamento,Municipio,Poblacion_2022
RIO SANTA LUCIA,SAN ROQUE,9 DE JULIO,3402
TIERRA COLORADA,GENERAL ALVEAR,ALVEAR,8722
RIO SANTA LUCIA,BELLA VISTA,BELLA VISTA,41321
CENTRO SUR,PASO DE LOS LIBRES,BONPLAND,1369
NOROESTE,GENERAL PAZ,CAA CATI,8578
RIO SANTA LUCIA,GOYA,CAROLINA,2489
CENTRO SUR,CURUZU CUATIA,CAZADORES CORRENTINOS,1270
RIO SANTA LUCIA,LAVALLE,CECILIO ECHAVARRIA,1305
RIO SANTA LUCIA,SAN ROQUE,CHAVARRIA,3438
TIERRA COLORADA,SAN MARTIN,COLONIA CARLOS PELLEGRINI,1113
CENTRO SUR,MONTE CASEROS,COLONIA LIBERTAD,1670
TIERRA COLORADA,ITUZAINGO,COLONIA LIEBIG,4423
RIO SANTA LUCIA,SAN ROQUE,COLONIA PANDO,2680
HUMEDAL,CONCEPCION,CONCEPCION DEL YAGUARETE CORA,6250
CAPITAL,CAPITAL,CORRIENTES,428346
RIO SANTA LUCIA,LAVALLE,CRUZ DE LOS MILAGROS,1699
CENTRO SUR,CURUZU CUATIA,CURUZU CUATIA,44251
HUMEDAL,EMPEDRADO,EL SOMBRERO,1694
HUMEDAL,EMPEDRADO,EMPEDRADO,14883
RIO SANTA LUCIA,ESQUINA,ESQUINA,35322
TIERRA COLORADA,GENERAL ALVEAR,ESTACION TORRENT,329
CENTRO SUR,MERCEDES,FELIPE YOFRE,2368
TIERRA COLORADA,SANTO TOME,GARAVI,1765
TIERRA COLORADA,SANTO TOME,GARRUCHOS,1081
RIO SANTA LUCIA,LAVALLE,GOBERNADOR MARTINEZ,4653
TIERRA COLORADA,SANTO TOME,GOBERNADOR VIRASORO,37198
RIO SANTA LUCIA,GOYA,GOYA,98368
TIERRA COLORADA,SAN MARTIN,GUAVIRAVI,989
NOROESTE,SAN LUIS DEL PALMAR,HERLITZKA,968
CAPITAL,CAPITAL,INDETERMINADO,1448
NOROESTE,GENERAL PAZ,ITA IBATE,5384
NOROESTE,ITATI,ITATI,10281
TIERRA COLORADA,ITUZAINGO,ITUZAINGO,27417
CENTRO SUR,MONTE CASEROS,JUAN PUJOL,2991
TIERRA COLORADA,SAN MARTIN,LA CRUZ,10655
RIO SANTA LUCIA,LAVALLE,LAVALLE,9208
NOROESTE,GENERAL PAZ,LOMAS DE VALLEJOS,1440
HUMEDAL,SAN MIGUEL,LORETO,3513
HUMEDAL,EMPEDRADO,MANUEL DERQUI,1371
CENTRO SUR,MERCEDES,MARIANO I. LOZA,2561
HUMEDAL,MBURUCUYA,MBURUCUYA,11541
CENTRO SUR,MERCEDES,MERCEDES,44878
CENTRO SUR,MONTE CASEROS,MOCORETA,9535
CENTRO SUR,MONTE CASEROS,MONTE CASEROS,31406
HUMEDAL,SALADAS,PAGO DE LOS DESEOS,2259
NOROESTE,GENERAL PAZ,PALMAR GRANDE,1614
CENTRO SUR,PASO DE LOS LIBRES,PARADA PUCHETA,877
NOROESTE,SAN COSME,PASO DE LA PATRIA,8765
CENTRO SUR,PASO DE LOS LIBRES,PASO DE LOS LIBRES,53761
RIO SANTA LUCIA,SAN ROQUE,PEDRO R. FERNANDEZ,2476
CENTRO SUR,CURUZU CUATIA,PERUGORRIA,5968
RIO SANTA LUCIA,ESQUINA,PUEBLO LIBERTADOR,3846
NOROESTE,ITATI,RAMADA PASO,1665
CAPITAL,CAPITAL,RIACHUELO,7652
HUMEDAL,SALADAS,SALADAS,22275
NOROESTE,BERON DE ASTRADA,SAN ANTONIO DE ITATI,2808
TIERRA COLORADA,ITUZAINGO,SAN ANTONIO ISLA APIPE GRANDE,1809
TIERRA COLORADA,ITUZAINGO,SAN CARLOS,3585
NOROESTE,SAN COSME,SAN COSME,6179
RIO SANTA LUCIA,GOYA,SAN ISIDRO,5366
HUMEDAL,SALADAS,SAN LORENZO,4592
NOROESTE,SAN LUIS DEL PALMAR,SAN LUIS DEL PALMAR,20413
HUMEDAL,SAN MIGUEL,SAN MIGUEL,9187
RIO SANTA LUCIA,SAN ROQUE,SAN ROQUE,10686
NOROESTE,SAN COSME,SANTA ANA DE LOS GUACARAS,4735
RIO SANTA LUCIA,LAVALLE,SANTA LUCIA,20152
HUMEDAL,CONCEPCION,SANTA ROSA,13471
TIERRA COLORADA,SANTO TOME,SANTO TOME,31878
CENTRO SUR,SAUCE,SAUCE,10382
HUMEDAL,CONCEPCION,TABAY,3351
CENTRO SUR,PASO DE LOS LIBRES,TAPEBICUA,771
HUMEDAL,CONCEPCION,TATACUA,3198
RIO SANTA LUCIA,BELLA VISTA,TRES DE ABRIL,3048
TIERRA COLORADA,ITUZAINGO,VILLA OLIVARI,1533
TIERRA COLORADA,SAN MARTIN,YAPEYU,2407
RIO SANTA LUCIA,LAVALLE,YATAY TI CALLE,3389
