Region;Departamento;Municipio;Poblacion_2022
RIO SANTA LUCIA;SAN ROQUE;9 DE JULIO;3.402
TIERRA COLORADA;GENERAL ALVEAR;ALVEAR;8.722
RIO SANTA LUCIA;BELLA VISTA;BELLA VISTA;41.321
CENTRO SUR;PASO DE LOS LIBRES;BONPLAND;1.369
NOROESTE;GENERAL PAZ;CAA CATI;8.578
RIO SANTA LUCIA;GOYA;CAROLINA;2.489
CENTRO SUR;CURUZU CUATIA;CAZADORES CORRENTINOS;1.270
RIO SANTA LUCIA;LAVALLE;CECILIO ECHAVARRIA;1.305
RIO SANTA LUCIA;SAN ROQUE;CHAVARRIA;3.438
TIERRA COLORADA;SAN MARTIN;COLONIA CARLOS PELLEGRINI;1.113
CENTRO SUR;MONTE CASEROS;COLONIA LIBERTAD;1.670
TIERRA COLORADA;ITUZAINGO;COLONIA LIEBIG;4.423
RIO SANTA LUCIA;SAN ROQUE;COLONIA PANDO;2.680
HUMEDAL;CONCEPCION;CONCEPCION DEL YAGUARETE CORA;6.250
CAPITAL;CAPITAL;CORRIENTES;428.346
RIO SANTA LUCIA;LAVALLE;CRUZ DE LOS MILAGROS;1.699
CENTRO SUR;CURUZU CUATIA;CURUZU CUATIA;44.251
HUMEDAL;EMPEDRADO;EL SOMBRERO;1.694
HUMEDAL;EMPEDRADO;EMPEDRADO;14.883
RIO SANTA LUCIA;ESQUINA;ESQUINA;35.322
TIERRA COLORADA;GENERAL ALVEAR;ESTACION TORRENT;329
CENTRO SUR;MERCEDES;FELIPE YOFRE;2.368
TIERRA COLORADA;SANTO TOME;GARAVI;1.765
TIERRA COLORADA;SANTO TOME;GARRUCHOS;1.081
RIO SANTA LUCIA;LAVALLE;GOBERNADOR MARTINEZ;4.653
TIERRA COLORADA;SANTO TOME;GOBERNADOR VIRASORO;37.198
RIO SANTA LUCIA;GOYA;GOYA;98.368
TIERRA COLORADA;SAN MARTIN;GUAVIRAVI;989
NOROESTE;SAN LUIS DEL PALMAR;HERLITZKA;968
CAPITAL;CAPITAL;INDETERMINADO;1.448
NOROESTE;GENERAL PAZ;ITA IBATE;5.384
NOROESTE;ITATI;ITATI;10.281
TIERRA COLORADA;ITUZAINGO;ITUZAINGO;27.417
CENTRO SUR;MONTE CASEROS;JUAN PUJOL;2.991
TIERRA COLORADA;SAN MARTIN;LA CRUZ;10.655
RIO SANTA LUCIA;LAVALLE;LAVALLE;9.208
NOROESTE;GENERAL PAZ;LOMAS DE VALLEJOS;1.440
HUMEDAL;SAN MIGUEL;LORETO;3.513
HUMEDAL;EMPEDRADO;MANUEL DERQUI;1.371
CENTRO SUR;MERCEDES;MARIANO I. LOZA;2.561
HUMEDAL;MBURUCUYA;MBURUCUYA;11.541
CENTRO SUR;MERCEDES;MERCEDES;44.878
CENTRO SUR;MONTE CASEROS;MOCORETA;9.535
CENTRO SUR;MONTE CASEROS;MONTE CASEROS;31.406
HUMEDAL;SALADAS;PAGO DE LOS DESEOS;2.259
NOROESTE;GENERAL PAZ;PALMAR GRANDE;1.614
CENTRO SUR;PASO DE LOS LIBRES;PARADA PUCHETA;877
NOROESTE;SAN COSME;PASO DE LA PATRIA;8765
CENTRO SUR;PASO DE LOS LIBRES;PASO DE LOS LIBRES;53.761
RIO SANTA LUCIA;SAN ROQUE;PEDRO R. FERNANDEZ;2.476
CENTRO SUR;CURUZU CUATIA;PERUGORRIA;5.968
RIO SANTA LUCIA;ESQUINA;PUEBLO LIBERTADOR;3.846
NOROESTE;ITATI;RAMADA PASO;1.665
CAPITAL;CAPITAL;RIACHUELO;7.652
HUMEDAL;SALADAS;SALADAS;22.275
NOROESTE;BERON DE ASTRADA;SAN ANTONIO DE ITATI;2.808
TIERRA COLORADA;ITUZAINGO;SAN ANTONIO ISLA APIPE GRANDE;1.809
TIERRA COLORADA;ITUZAINGO;SAN CARLOS;3.585
NOROESTE;SAN COSME;SAN COSME;6.179
RIO SANTA LUCIA;GOYA;SAN ISIDRO;5.366
HUMEDAL;SALADAS;SAN LORENZO;4.592
NOROESTE;SAN LUIS DEL PALMAR;SAN LUIS DEL PALMAR;20.413
HUMEDAL;SAN MIGUEL;SAN MIGUEL;9.187
RIO SANTA LUCIA;SAN ROQUE;SAN ROQUE;10.686
NOROESTE;SAN COSME;SANTA ANA DE LOS GUACARAS;4.735
RIO SANTA LUCIA;LAVALLE;SANTA LUCIA;20.152
HUMEDAL;CONCEPCION;SANTA ROSA;13.471
TIERRA COLORADA;SANTO TOME;SANTO TOME;31.878
CENTRO SUR;SAUCE;SAUCE;10.382
HUMEDAL;CONCEPCION;TABAY;3.351
CENTRO SUR;PASO DE LOS LIBRES;TAPEBICUA;771
HUMEDAL;CONCEPCION;TATACUA;3198
RIO SANTA LUCIA;BELLA VISTA;TRES DE ABRIL;3.048
TIERRA COLORADA;ITUZAINGO;VILLA OLIVARI;1.533
TIERRA COLORADA;SAN MARTIN;YAPEYU;2.407
RIO SANTA LUCIA;LAVALLE;YATAY TI CALLE;3.389
;;;
